Video Playlist for All Aernasis Hammer Runs [I've given up linking them individually]
Phase 1,,,,,Notes,,Off-Meta Units,,,,,,,
,,,,"Callisto(T)_Edel_Myrielle_Nelia(T)_Mirfee_V1_7AAB3FF6CC9FBA2E6F179E8618F52618813A490B6E70BA8C98381B1E3E00C28EEAA081FDF5E902CEBC7012EA842CBCAE02C060FFACE6B6385F85EFF34344145EA8E76BE60494285FAD2548404BB9824D42A320182577C773E3C034F1471D43C14BC333D3D541D560D1057D637BC2406402A649CF3A20A3EE05F0D1E0AC2F1A6E        
        
        ",D10 Needed,,,,,,,,,
Retribution,Spirit,Spirit,Retribution,,,,Retribution,Retribution,Ruin,Cycle,Retribution,,,
Cali T,Edel,Myri,Nelia T,,,,Uno,Euro T,Bastet,Ragnar,Scarde,,,
,,,,,,,,,,,,,,
,,,,Callisto(T)_Nepteon_Io_Nelia(T)_Mirfee_V1_4E3D2CCA6380D382FD04DA56C903A1958D5E431380C63EA655631755EF76A74ADDB4FB8A3BB5ADD82CCDBF43A45D83FB001FCAC6C1C9B7191896F03CE484D3B40AEBB89AC89145A1ECCEEEB6694B7DC9E2856B4F30914A27D36ECCE6788F2C7335A4A84F9624B24763249F9206534F06F0A922FDEB55D5C41CE619ADBF11CAF1,It Just Works,,,,,,,,,
Retribution,Retribution,Retribution,Retribution,,,,,,,,,,,
Cali T,Nepteon,Io,Nelia T,,,,,,,,,,,
,,,,,,,,,,,,,,
Phase 2,,,,,Notes,,Off-Meta Units,,,,,,,
,,,,Jin_Lass_Vice_Amy_Hwarang(T)_V1_44AE61C1FD550CAFDDB8D86F317C36519D52A59151AA95D527ED6437D61759E81F423A78F9C0F0838B7AAAB01BCE37CB50728E4806D09C179A1E8CC1160DC2B76F3E9FB45175334DDF2B507AD0E01B083E3DD8CDA2177D910C915A00BECF9AB97F41B97F3EA0C8CA489EBD328569E3F12AE10D06527CAC3089D6BE70B43510E6,D10 Needed,,,,,,,,,
Balance,Spirit,Balance,Spirit,,,,Balance,Balance,Balance,,,,,
Jin,Lass,Vice,Amy,,,,Myung T,Zero T,Io T,,,,,
,,,,,,,,,,,,,,
,,,,Jin_Decanee(T)_Vice_Mayden(T)_Malefi(T)_V1_66122D7C040C817E3DA8BD6C0F81FEF8B774D793167265C70EEE4548619A12B24009096DDDD3640D107541106AB9D2CDB2AEDCB3227286D07B78854B66500D970E765AEC94100483FBB4727B6D8C63955E764B81D96D84472A971B0137F6DA3762BBD4F4277393A1030794B4FBD4D23E86F5647CAC459EC46FDEAF63A17C1D60,It Just Works,,,,,,,,,
Balance,Balance,Balance,Balance,,,,,,,,,,,
Jin,Deca T,Vice,Mayd T,,,,,,,,,,,
,,,,,,,,,,,,,,
Phase 3,,,,,Notes,,Off-Meta Units,,,,,,,
,,,,Ai(T)_Elesis_Lire(S)_Urara_Reruby(S)_V1_13C5C66DAB94CB7D4B8E863C60267CEB67A33A10C844A01468D52CED9F22ED00C3BE0162D2509F36D7F7BD23077EFD6E6D79E52BC1E5812A29EA740B9C05DC44F5D7AC4E5F77AFE59DD46754080FE81CF9E32046CE5C9FCAF0B99D2661A07F2662099E7A420A0E056A723F7010F92672C701CD579AEDC370158BBD7F9FDA95A4,Lire (S),,,,,,,,,
Life,Life,Life,Life,,,,Life,Life,,,,,,
Ai T,Elesis,Lire S,Urara,,,,Tia,Werner T,,,,,,
,,,,,,,,,,,,,,
,,,,Elesis_Lire(S)_Lapis_Urara_Reruby(S)_V1_3DD165580E6C4C11D10CBFFF22E19D37A4DBEC9FD8858864C0798CD279217BA012CE5EDC390D650C2A5D68177D6A8A1433439D87E8BB97D2F096A2952F4A37CA7573048F516EEACBAB9A6F452C9BCA733D4D19BB21D5AC88C1CBF9970A90D83D8802E1D370A4ACB9CBD56519359D815671AE3FE24120BECCA1B725A7219A3335,Lire (S) + Lapis,,,,,,,,,
Life,Life,Life,Life,,,,,,,,,,,
Elesis,Lire S,Lapis,Urara,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,Elesis_Lapis_Werner_Urara_Reruby(S)_V1_0D29D2E30E0B372AA57EFE70DD006632EAA2CBFE1CD39B9C628AED831066FAB8B7E804FDB873DCA01A758E1D0C75762E7D227C250B51E44157BAC5CDB9D37A540318EA5DC5CC8E7411ECFF83697C2E9C19B996B907415A11D89553E8366164AA079AA8AB10394D2D96F8429B88439B39224C81D49580E83E508AC1893A4832D0,"If your account doesn't have Lire (S), you can't do higher ranking Aernasis Hammer",,,,,,,,,
Life,Life,Life,Life,,,,,,,,,,,
Elesis,Lapis,Werner,Urara,,,,,,,,,,,
