"Attributes","","","","","","","","","","",""
"Grand Chase heavily favors attributes—matching them grants up to 60% extra damage on top of the base buff.","","","","","","→","→","Retribution","Life","Balance","Retribution"
"","","","","","","To easily remember,
think of the color wheel.
R → G → B","","","","",""
"Content have damage type debuffs & attribute restrictions so neutral parties can’t access them","","","","","","→","→","Cycle","Ruin","Cycle","Ruin"
"","","","","","","""PvP attributes don't
really matter.""        ","","","","",""
"Modes in this game have a dmg type debuff and attribute restrictions for access, so trying to build a ""neutral"" party will lead to you being barred from playing these said modes.","","","","","","Newbie Tips:
1. No single team clears all content—you need multiple parties.
2. Don’t focus only on dupes of favorites; learn the game first.
3. Only unlock units (T) you’ll build soon — avoid waste.
4. Get every unit possible from SR Tickets whenever you obtain one.","","","","",""
"Info Dump: Worlds 1 & 2 Things","","","","","","","","","","",""
"","","","","","These Five (5) units are rewards from World 1
Because of [Assembly], it is not advised to invest in Rufus","","","","Should be who you select as your first SR Hero
She is the best DPS starting out & just works.
[It doesn't matter who you get. Yes, you get enough resources obtain every single hero in the game. So do so]","",""
"Arme","Elesis","Grandiel","Rufus","Ryan","","","","Bastet","","",""
"","","","","","","Silver Knight's Special Training! unlocks after completing World 1.
It's a progression questline rewarding multiple growth material.
It's done naturally as you play & don't need to be hard focused on.","","","","",""
"","","","","","","Essence","Cubes","Relics","Fragments","Slots","Artifacts"
"","","","","","","The missions do get gradually harder as you progress. Just keep grinding & pushing.","","","","",""
"","","","","","","When you're able to, spend your gems on expanding your Research & Expedition Slots. Using your Gold, expand all of your inventories!
This will help level up your party skills & passive stats quicker, brings in more rewards while AFK, & lets you hold more items.","","","","",""
"","","","","","","","","","","Top Priority Research Skills
Gem Cooldown Reductions",""
"","","","","","","While these don't need to be rushed, they are a priority after the above.","","","","",""
"","","","","","","","","","","","BP Boosters!"
"Once you're able to, expand your Hero, Equipment, & Accessory Inventory!","","","","","","DMG Dealt To [CLASS] & Crit Rate/DMG should come after these.","","","","",""
"","","","","","","","","Use Fragments & Blessings of Valor to level up stats for each of the five classes.","","",""
"","","","","","","Fragments","Blessings","","","",""
