Video Playlist for All of the Berkas Runs [I've given up linking them individually]
Phase 1,,,,,,Off-Meta Units,,,,,,,,
,,,,Zero_Metatron_Asin(T)_Arme(T)_Veil_V1_B5FD49A957200BA9B47414D1B602EACFCD29558CA00BCF5EB263C9A86362B1E18EAD328B538DD37F330111ECD9643C09923AE1F4E49D8E4EDB7CFC869E40B8B680FCB73C3D356BDD13518EC53095628CFAB97E2C33F4E3C512B3FD547C612CDC63D5F9422B1FAABC5443C6EF060E457A59ED3CE8B776C5510FE5B1B6EF299949                                ,,,,,,,,,,
Ruin,Ruin,Ruin,Ruin,,,Ruin,Ruin,Ruin,,,,,,
Zero,Metatron,Asin T,Arme T,,,Bastet,Nelia,Asin,,,,,,
,,,,,,,,,,,,,,
Phase 2,,,,,,Off-Meta Units,,,,,,,,
,,,,"Edel_Cindy(T)_Jin(T)_Nelia(T)_Sephira(T)_V1_437717DC2B8DD91D41AA207EE328357B27AAA2B7CFB56DC901584B58F6C838A85A8614030F66A04578D3DCFF69F2E7FAFE6D7B7A74482DF72963AF2DF86506FD9A7112804A69858467F96F0087AB9FECA89B741F80531579B1C6DA2CB7913CF58A3CB549C5CB049D5C9A6266FFF1F342E73730153CBADD020863192F566F6085

",,,,,,,,,,
Spirit,Retribution,Retribution,Retribution,,,Retribution,Retribution,Retribution,Retribution,Retribution,Retribution,,,
Edel,Cindy T,Jin T,Nelia T,,,Ele T,Cali T,Nepteon,Edel,Ryan T,Cindy,,,
,,,,,,,,,,,,,,
Phase 3,,,,,,Off-Meta Units,,,,,,,,
,,,,Dio(T)_Ragnar_Deia_Ai_Selena_V1_8CDE2EE29F5D7685AFED309D945E2CCCE00506299FFEEC8D907BA364BE65B34B853524E7C7922EAD1016957BC9A9DAE9ABD3F7C8CD8EDCA1F2E532F79262F6A20FCC86E3D9738B07809E707172B2D341ABA49E9E33EA3155C797E87E8774FA715F883077ED41B2FC3D7B47F0FA8484D86611F1F27310CBD6A20C44BA23F4DD35,,,,,,,,,,
Cycle,Cycle,Cycle,Cycle,,,Cycle,Cycle,Cycle,,,,,,
Dio T,Ragnar,Deia,Ai,,,Myst,Europa,Ragnar T,,,,,,
,,,,,,,,,,,,,,
Phase 4,,,,,,Off-Meta Units,,,,,,,,
,,,,Jin_Lass_Vice_Amy_Hwarang(T)_V1_7E871370E9BBBC4BA6536F0942EC37619BFE432E65984A4CE487502C280FEFCA736B829A8252F98375C32A1A633D6A934EC58CFA565C8CC852576EF291E32BA7890041F435DE0635E50230E393541B46338B588DA741654129522CCADACAE753F50225F0693955B0528EF4BE5AC4A073E9A6A8F2D8B7299D902FF84948F94C453B1ED066F8846AE47E67E6A4DFCB8400,,,,,,,,,,
Balance,Spirit,Balance,Spirit,,,Balance,Balance,Balance,Balance,Balance,Balance,,,
Jin,Lass,Vice,Amy,,,Lime T,Lire T,Deca T,Ronan T,Mayd T,Zero T,,,
,,,,,,,,,,,,,,
Phase 5,,,,,,Off-Meta Units,,,,,,,,
,,,,Elesis_Lapis_Grandiel(T)_Deia(T)_Niah(T)_V1_9B9D520113368BFBC54D3F30435A766E2CFC16DB52017E27D87566FCCD71D575A4B88F2E1BC49FF5BF2B6C31B220646ADD68D734D27B9D26D85DE21302CF05EE8843E13D7AD6FE19599922FD8A528229F60FAA069D5006B00DB8D9E146D2A48C7F4394F783B1CE2CB87F1FDA1ED1E95B3AF72EBC8E6E597B1A0148B8F85212EC,,,,,,,,,,
Life,Life,Spirit,Life,,,Life,Life,Life,Life,,,,,
Elesis,Lapis,Gran T,DeiaT,,,Ai T,Tia,Lire,Ley T,,,,,
,,,,,,,,,,,,,,
,,,,Sieghart(T)_Elesis_Lire(S)_Urara_Reruby(S)_V1_D9694838712AD0E59FB054940E6F084E25856D6EE894B06434C5A2288A499729545BE66379680BC5ADB89927F1330CBE55F09B764EDE3EF05162E2AF695E67663980D79EEA696FBA3076C41E30FC7A2FE0B4033B42A61708CD335432E78DDA3EE0B2DFC985D8A7D94B83B8EDC9EC3E5D1BBD328FC1C6F371606E180BC8D2E6AB                                ,,,,,,,,,,
Life,Life,Life,Life,,,,,,,,,,,
Sieg T,Elesis,Lire S,Urara,,,,,,,,,,,
