,
date edited,Changelog
,
2026-03-15 00:00:00,Updated keys for World Boss Seasons 1 & 2. Videdos added to playlist.
,
2026-03-15 00:00:00,"""Yes I am also Shisamoo. Both are my name.""
Changed Iyoung named to the KR version's spelling, Tesumoo"
,Added a key for Raid when using iYoung
,
2026-03-10 00:00:00,Added Europa D & Ayla to [Release Order]
,Added Hell Furnace: Retribution comps. Video added to playlist
,
2026-02-25 00:00:00,Added Kine's Spirit Spreadsheet to Table of Content
,Updated Hell's Furnace: Balance
,Added keys for Final Core
,Updated PvP Meta
,Updated PvE Meta
,
2026-02-16 00:00:00,World Boss Keys were updated to have Lime (S) included
,[Support Party] was redone a bit
,
2026-02-13 00:00:00,Maybe I will add Sea of Eternity and Final Core pages tomorrow. A mimir
,Made edits to the beginner guide to reflect the removal of Chasm
,Updated keys for World Boss [Both Seasons] [wb tba lime s when]
,Updated keys for Berkas Lair
,
2026-02-04 00:00:00,Froze the top row Equipment Presets & Equipment
,Changed iYoung's data and put in her predicted build
,Edited Hell's Furnace for Balance
,
2026-02-04 00:00:00,Playlists for keys and content updated. Slight changes in PvE Meta?
,
2026-01-28 00:00:00,"Change Equipment Preset for Green Line, divided per Equipment <Styo>"
,
2026-01-21 00:00:00,"Corrected the name of the new unit: ""Iyoung"" from ""Lyoung"" [iYoung, like an iPhone]"
,Addeed Lime (S) Builds & Information
,Added a Page for [Guild Boss]
,
,
2026-01-11 00:00:00,Added Spirit Icons for [Aernasis Hammer] units who require their Spirit
,"Added Pages for Hell's Furnace by attribute, along with their Keys & Playlists linked"
,Corrected Lyoung's spelling in [Release Order]
,Added Raid 18 keys to [Content Keys]
,
2026-01-11 00:00:00,"Corrected PvP DPS [Equipment Presets] to say ""PvP DMG Increase"" instead of Boss DMG"
,Added Iyoung & Lime (S) to [Release Order]
,
2026-01-01 00:00:00,Updated World Boss keys for Season 1 and 2 up until Grandiel T's release
,Moved Arme (S) on the Tier List to reflect her usage with Amy D10
,
2025-12-29 00:00:00,Added keys for [Hell's Furnace]
,No more Christmas Icons
,Updated Build for Elesis
,
2025-12-15 00:00:00,"Started making tabs for each game mode specifically, having keys and listing off meta heroes"
,Edited [PvE Meta] to match the meta with Vulcanus in Mind
,(The above must be redesigned/ordered as there are too many heroes with niche uses...)
,"As I started doing Illusion Arena, I will make a tab for it soon."
,"Removed the ""How To Builds a Parrty"" from [Support Party]"
,Fixed Deia T missing from [Soul Imprint]
,Fixed Arme T missing from [Builds]
,[Table of Content] adjustments
,still making adjustments...
,
2025-12-11 00:00:00,Updated [PvE Meta] &  [Release Order]
,Started adding keys to content for [World 19] [Stages & Illusion Arena]
