"""Why is this page a thing?""
It's messy but
will make it pretty later.",,,Berkas,Void (R),Void (G),Void (B),WB (1),WB (2),WB (3),WB (4),WB (5),WB (6),Raids,Raid (17),GoC,Chasm,Boss,AoT,AoT (2),AoT (3),AoT (4),AH (1),AH (2),AH (3),Merc,GB,FC,FC 2,FC 3,PvP ATK,PvP DEF,Arena
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ronan,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,,❌,,❌,❌,❌,❌,❌,❌,❌,❌,❌,,❌,❌,❌,❌,❌,❌,❌
,,Callisto T,,❌,❌,❌,❌,❌,❌,❌,❌,❌,,❌,,,,❌,,❌,❌,,❌,❌,,❌,❌,❌,,❌,❌,❌
,,Elesis T,,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
,,Tia,❌,❌,❌,❌,❌,❌,,❌,❌,❌,❌,❌,,,❌,❌,❌,❌,❌,❌,❌,,❌,❌,,❌,❌,❌,,
,,Ai T,,❌,❌,❌,❌,❌,❌,❌,❌,,,❌,,❌,❌,❌,❌,❌,,❌,❌,,❌,❌,,❌,❌,❌,❌,❌
,,Ercnard T,,❌,❌,❌,❌,❌,❌,❌,❌,,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,,❌,❌,❌,❌,❌,❌,❌
,,Jin,,❌,❌,❌,❌,❌,❌,❌,❌,❌,,,,,❌,,❌,❌,❌,❌,,❌,❌,❌,❌,,❌,❌,❌,❌
,,Ryan,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌
,,Lime T,,❌,❌,❌,❌,❌,❌,❌,❌,❌,,,,,,,❌,❌,❌,❌,,❌,,❌,❌,,❌,❌,,
,,Myst,,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,,,
,,Dio T,,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,,❌,❌,,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,,,
,,Asin,,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,❌,,,
