Video Playlist For Guild Boss,,,,,,Video Playlist For Guild Boss,,,,,
Balance,,,,,,Off-Meta Units,,,,,
,,,,Lass_Rufus_Ganymede(T)_Amy_Hwarang(T)_V1_C9CD507CAB64CD67A8E8EA54E93DDA2052137086E8FCA17C6AB9A469F03BFD5B983236D12B9FAB862628CCB073F9407B92E1F9C8F47D5AF3BAFD7EF7AAA043C3643F4A30C4150A924A8B90BD6E7C3699F8BE13AA2A542010E2C633A46EDFB52808AC7548804CDB2515CA5068B567D1BCF52DD28F024A59611B4D10F443CD284C,,,,,,,
Spirit,Spirit,Balance,Spirit,,,Balance,Balance,Balance,Balance,Balance,
Lass,Rufus,Gany T,Amy,,,Deca T,Myung T,Arme S,Ronan T,Mayd T,
,,,,,,,,,,,
Retribution,,,,,,Off-Meta Units,,,,,
,,,,Edel_Io_Myrielle_Serdin_Mirfee_V1_63E073A759FABF43EA74B5FC51DA8D2EA675435D1841339A43963739AE18232D45F44C151290E8D4629AFB3AC8DD64DD983D8B9CCB35272509E62D49225D845A2DFEE2EDBCF325E100E687B7696EA06575B1CA5A48D719351053A3F31B9CDA3F1610A410180DAFE0DF8189E0AD5ED17E5036922A11FA0B1BAAD87620005953048D706A5D36664A6AC0A630D9BC876717,,,,,,,
Retribution,Retribution,Retribution,Retribution,,,Retribution,Retribution,Retribution,Retribution,Retribution,
Edel,Io,Myri,Scarde,,,Nelia T,Uno,Nepteon,Cindy T,Ganyme,
,,,,,,,,,,,
Life,,,,,,Off-Meta Units,,,,,
,,,,Elesis_Grandiel(T)_Mari_Urara_Lisianthus III_V1_B8809D1B7B2214F3678B0D8F1998B627CFB8C634372DCF71367BA34589C345D73D88230462E61CEA9B7631655163E7EB5BA167D00FD23BE288A00B48EC315BCDD84A507B30862EB2C211E8C3374F7077F9E74933A0572C4B0E73EFA8060E688006BEE422E0EF4313B614767CD19EDF4F17BC076377B276AB692F761633DFC020,,,,,,,
Life,Spirit,Spirit,Life,,,Life,Life,Life,Life,,
Elesis,Gran T,Mari,Urara,,,Myst T,Agnesia,Ai T,Lire S,,
