LEAVE ! THIS PAGE IS A WORK IN PROGRESS ! I AM SLOW AND LAZYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYYY
Raid 18,,,,,,Off-Meta Units,,,,,,,,
,,,,Tia_Elesis_Iyoung_Deia(T)_Choun_V1_BB3A0830730FAC7D9EF7CDD4B5AEC81DDFD5FFC22FF57730FB7B1E1FB932A6EF8FCB30554DE0C1B2A9E36FC8AE39501F80FBEFBE7EAA1D4982DB7F2DCA80D1B161BA9E214288B2FF223F95D6B9B9DCBFBED3C085BF70E6C553CF53BF83977C4AB3BE30D9E1FBA1A4816D152B28E044C6CB8FD4103571A84826F7390B0978E074,,,,,,,,,,
Life,Life,Life,Life,,,Ruin,Ruin,Ruin,,,,,,
Tia,Elesis,Tesumoo,DeiaT,,,Bastet,Nelia,Asin,,,,,,
,,,,,,,,,,,,,,
Raid 17,,,,,,Off-Meta Units,,,,,,,,
,,,,"Edel_Cindy(T)_Jin(T)_Nelia(T)_Sephira(T)_V1_437717DC2B8DD91D41AA207EE328357B27AAA2B7CFB56DC901584B58F6C838A85A8614030F66A04578D3DCFF69F2E7FAFE6D7B7A74482DF72963AF2DF86506FD9A7112804A69858467F96F0087AB9FECA89B741F80531579B1C6DA2CB7913CF58A3CB549C5CB049D5C9A6266FFF1F342E73730153CBADD020863192F566F6085

",,,,,,,,,,
Spirit,Retribution,Retribution,Retribution,,,Retribution,Retribution,Retribution,Retribution,Retribution,Retribution,,,
Edel,Cindy T,Jin T,Nelia T,,,Ele T,Cali T,Nepteon,Edel,Ryan T,Cindy,,,
,,,,,,,,,,,,,,
Raid 16,,,,,,Off-Meta Units,,,,,,,,
,,,,Dio(T)_Ragnar_Deia_Ai_Selena_V1_8CDE2EE29F5D7685AFED309D945E2CCCE00506299FFEEC8D907BA364BE65B34B853524E7C7922EAD1016957BC9A9DAE9ABD3F7C8CD8EDCA1F2E532F79262F6A20FCC86E3D9738B07809E707172B2D341ABA49E9E33EA3155C797E87E8774FA715F883077ED41B2FC3D7B47F0FA8484D86611F1F27310CBD6A20C44BA23F4DD35,,,,,,,,,,
Cycle,Cycle,Cycle,Cycle,,,Cycle,Cycle,Cycle,,,,,,
Dio T,Ragnar,Deia,Ai,,,Myst,Europa,Ragnar T,,,,,,
,,,,,,,,,,,,,,
Raid 15,,,,,,Off-Meta Units,,,,,,,,
,,,,Jin_Lass_Vice_Amy_Hwarang(T)_V1_7E871370E9BBBC4BA6536F0942EC37619BFE432E65984A4CE487502C280FEFCA736B829A8252F98375C32A1A633D6A934EC58CFA565C8CC852576EF291E32BA7890041F435DE0635E50230E393541B46338B588DA741654129522CCADACAE753F50225F0693955B0528EF4BE5AC4A073E9A6A8F2D8B7299D902FF84948F94C453B1ED066F8846AE47E67E6A4DFCB8400,,,,,,,,,,
Balance,Spirit,Balance,Spirit,,,Balance,Balance,Balance,Balance,Balance,Balance,,,
Jin,Lass,Vice,Amy,,,Lime T,Lire T,Deca T,Ronan T,Mayd T,Zero T,,,
,,,,,,,,,,,,,,
Raid 14,,,,,,Off-Meta Units,,,,,,,,
,,,,Elesis_Lapis_Grandiel(T)_Deia(T)_Niah(T)_V1_9B9D520113368BFBC54D3F30435A766E2CFC16DB52017E27D87566FCCD71D575A4B88F2E1BC49FF5BF2B6C31B220646ADD68D734D27B9D26D85DE21302CF05EE8843E13D7AD6FE19599922FD8A528229F60FAA069D5006B00DB8D9E146D2A48C7F4394F783B1CE2CB87F1FDA1ED1E95B3AF72EBC8E6E597B1A0148B8F85212EC,,,,,,,,,,
Life,Life,Spirit,Life,,,Life,Life,Life,Life,,,,,
Elesis,Lapis,Gran T,DeiaT,,,Ai T,Tia,Lire,Ley T,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Raid 13,,,,,,Off-Meta Units,,,,,,,,
